#C=8795,gamma=0.029,epsilon=819,train_percent=0.75
DATA,TARGET,T-12,T0-1,T m norm,P1,P2,P7,P8,P9,P10,P11,P14,P17,T1,T2,T7,T8,T9,T10,T11,T14,T17,E1
10/1/1998,6579.274,2386.800,702.432,5297.318,1894.208,1518.290,1381.359,1209.030,2991.801,2324.232,2224.319,1569.070,4178.740,292.944,294.463,294.430,296.025,293.793,293.101,292.569,293.028,295.887,5654.990
11/1/1998,7434.806,2386.800,878.515,5598.278,2026.798,1683.670,1519.168,1354.812,3055.834,2425.062,2147.269,1547.310,4266.593,292.908,294.352,294.328,295.877,293.906,293.117,292.657,293.024,296.028,6202.765
12/1/1998,7790.861,2765.232,1039.392,5955.955,2040.387,1755.849,1654.653,1467.999,2732.419,2214.738,2033.079,1619.387,3929.384,292.775,294.184,294.189,295.710,293.914,293.060,292.604,292.924,296.047,6676.018
1/1/1999,8442.058,3349.123,865.123,6493.589,2216.728,1900.160,1886.719,1622.750,2758.557,2209.667,2186.988,1921.173,4033.728,292.531,293.904,293.940,295.447,293.925,292.940,292.468,292.713,296.149,7468.086
2/1/1999,8297.424,5080.925,1325.808,7226.131,2125.155,1806.188,1914.925,1591.853,2427.520,1929.151,2082.145,1993.529,3776.554,292.481,293.815,293.867,295.372,294.038,292.982,292.506,292.672,296.212,8351.820
3/1/1999,8138.448,6474.298,1391.040,7677.758,2118.439,1742.406,1952.728,1573.306,2299.057,1760.040,2182.425,2142.811,3711.497,292.468,293.812,293.866,295.396,294.065,293.089,292.576,292.795,296.049,8688.474
4/1/1999,7997.357,6884.093,1079.395,7502.885,1992.587,1583.786,1809.794,1413.556,2340.814,1713.653,2208.613,2131.393,3710.415,292.631,294.010,294.049,295.606,293.817,292.959,292.442,292.784,295.757,8117.208
5/1/1999,7211.462,6593.789,1734.048,7224.965,1729.867,1319.034,1514.279,1158.750,2320.162,1608.755,2157.378,1949.080,3660.701,292.603,294.059,294.096,295.700,294.087,293.008,292.497,292.657,296.232,8102.098
6/1/1999,6798.384,6400.944,1395.446,6893.030,1665.124,1245.837,1381.093,1076.095,2400.017,1675.432,2225.245,1842.095,3779.531,292.672,294.167,294.208,295.818,293.631,292.901,292.368,292.851,295.526,7341.319
7/1/1999,6664.118,5397.840,1516.320,6313.142,1767.373,1322.726,1358.937,1084.071,2752.132,1932.023,2352.003,1782.001,4247.054,292.673,294.185,294.218,295.831,293.551,292.843,292.320,292.827,295.489,6942.619
